file name,detected_resolution,channels,format,category
Viral Pneumonia-1,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-10,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-100,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1000,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1001,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1002,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1003,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1004,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1005,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1006,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1007,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1008,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1009,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-101,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1010,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1011,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1012,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1013,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1014,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1015,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1016,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1017,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1018,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1019,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-102,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1020,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1021,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1022,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1023,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1024,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1025,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1026,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1027,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1028,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1029,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-103,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1030,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1031,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1032,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1033,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1034,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1035,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1036,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1037,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1038,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1039,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-104,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1040,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1041,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1042,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1043,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1044,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1045,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1046,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1047,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1048,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1049,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-105,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1050,299x299,RGB,PNG,viral_pneumonia
Viral Pneumonia-1051,299x299,RGB,PNG,viral_pneumonia
